"id","date","chronological_band","polity","event","source_caveat"
"ML-1520-002","1520（正德十五年）五月","1506-1567_zhengde_jiajing","明与海上、朝贡相关政权","葡萄牙人贿赂了广州的一名太监，让他们通过，托梅·皮雷一行抵达南京","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1524-003","1524（嘉靖三年）","1506-1567_zhengde_jiajing","明","科举、讲学和官员文集的本年线索可用于追踪知识网络，主张与行政结果须分开。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1528-003","1528（嘉靖七年）","1506-1567_zhengde_jiajing","明","灾异、赈济及地方工程的本年报告可与州县材料互校，救济命令不自动证明救济到达。（材料核查重点：诏令或奏议的形成与发受链）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对诏令或奏议的形成与发受链。"
"ML-1532-002","1532（嘉靖十一年）","1506-1567_zhengde_jiajing","明","看到了一颗非常不吉利的彗星","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1535-005","1535（嘉靖十四年）","1506-1567_zhengde_jiajing","明","祀典、学校、出版或讲学的本年材料记录文化制度活动，规范话语不等于社会普遍认同。（材料核查重点：同年地方材料所见的执行范围）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对同年地方材料所见的执行范围。"
"ML-1539-004","1539（嘉靖十八年）","1506-1567_zhengde_jiajing","明","祀典、学校、出版或讲学的本年材料记录文化制度活动，规范话语不等于社会普遍认同。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1543-004","1543（嘉靖二十二年）","1506-1567_zhengde_jiajing","明","北边警报、边镇防务和西南处置的本年军政材料标记边疆压力，敌我称谓与军数应回到原文。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1548-002","1548（嘉靖二十七年）四月","1506-1567_zhengde_jiajing","明","嘉靖倭寇袭击：明军进攻双鱼，但港口内许多船只逃脱。","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1551-004","1551（嘉靖三十年）","1506-1567_zhengde_jiajing","明","严嵩时期至隆庆初的人事和奏议材料标记中枢权力变化，案狱与党争标签需保留来源立场。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1555-002","1555（嘉靖三十四年）五月","1506-1567_zhengde_jiajing","明","嘉靖倭寇突袭：明军击败嘉兴以北的一支大型突袭部队","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1559-001","1559（嘉靖三十八年）夏","1506-1567_zhengde_jiajing","明","戚继光开始对新兵进行战术改革","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1562-004","1562（嘉靖四十一年）","1506-1567_zhengde_jiajing","明","本年灾情、赈恤或河工记录连接中央与地方社会，区域差异需以府县材料追踪。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1566-002","1566（嘉靖四十五年）","1506-1567_zhengde_jiajing","明","俺答边患、东南海防或沿海武装的本年军令与战报构成危机处理线索，战果和参与者须交叉核对。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"MM-1569-HAI-RUI-SOUTHERN-METROPOLIS","1569（隆庆三年）","1568-1620_longqing_wanli","明与南直隶应天十府","海瑞出任巡抚应天十府，处理积案、赋役与土地争讼","任命和部分奏疏可靠；海瑞改革土地关系的范围、退田数额和普通佃户所得，不能由清官叙事或单一案件外推。"
"MM-1573-WANG-GAO-CAMPAIGN","1573（万历元年）","1568-1620_longqing_wanli","明与建州女真、辽东","李成梁进攻王杲集团，王杲被擒后由明廷处置","进攻、被擒和朝廷处置可靠；女真各部关系与李成梁战功数字不能仅按辽东奏报或后世“养成建州”叙事简化。"
"ML-1577-002","1577（万历五年）","1568-1620_longqing_wanli","明","朝鲜战争、海上贸易和朝贡使节的本年多方记录提供跨政权比较，外交语言不能替代地方经验。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1580-005","1580（万历八年）","1568-1620_longqing_wanli","明","考成、人事、立储和留中等本年材料标记皇帝、内阁与言官的协调关系，不可只用党争标签解释。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1584-003","1584（万历十二年）","1568-1620_longqing_wanli","明","清丈、一条鞭、漕运或军饷的本年文书构成万历财政的可核查节点，定额、报数和实收必须分列。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1587-003","1587（万历十五年）","1568-1620_longqing_wanli","明","朝鲜战争、海上贸易和朝贡使节的本年多方记录提供跨政权比较，外交语言不能替代地方经验。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1591-001","1591（万历十九年）","1568-1620_longqing_wanli","明","本年灾荒、河工和地方赈济材料可用于研究风险分配，灾害叙事和统计数字应区分。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1594-001","1594（万历二十二年）","1568-1620_longqing_wanli","明与地方反抗、流动作战集团","亳州之乱：明军在四川大败","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1597-005","1597（万历二十五年）","1568-1620_longqing_wanli","明","清丈、一条鞭、漕运或军饷的本年文书构成万历财政的可核查节点，定额、报数和实收必须分列。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1600-004","1600（万历二十八年）","1568-1620_longqing_wanli","明","本年灾害、疫病或地方赈济线索应以受灾地区文书和地方志复核，中央奏报不能覆盖全部社会。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1603-005","1603（万历三十一年）","1568-1620_longqing_wanli","明","万历末至天启初的立储、内阁和言路材料标记中枢运作的堵塞与调整，派系归类需回到具体文书。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1606-005","1606（万历三十四年）","1568-1620_longqing_wanli","明","后金兴起、朝鲜交涉和海上网络的本年多方材料揭示区域关系变化，政权名称与译名须按原文说明。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1609-006","1609（万历三十七年）","1568-1620_longqing_wanli","明","本年灾害、疫病或地方赈济线索应以受灾地区文书和地方志复核，中央奏报不能覆盖全部社会。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1612-006","1612（万历四十年）","1568-1620_longqing_wanli","明","辽东战事、边镇防务和西南兵事的本年军令记录资源调动，战报数字应与朝鲜、满文或地方材料比照。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1616-001","1616（万历四十四年）","1568-1620_longqing_wanli","明、后金（清）与辽东诸势力","努尔哈赤宣告后金，又称阿玛嘎爱新古伦","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1619-002","1619（万历四十七年）七月26日","1568-1620_longqing_wanli","明、后金（清）与辽东诸势力","开原之战：后金攻占开原","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1622-005","1622（天启二年）十一月","1621-1644_tianqi_chongzhen","明与地方反抗、流动作战集团","白莲教叛军被击败","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1625-007","1625（天启五年）","1621-1644_tianqi_chongzhen","明","天启末至崇祯朝的任免、奏疏和廷议构成本年中枢危机线索；崇祯无实录，必须以多类材料互校。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1628-002","1628（崇祯元年）八月","1621-1644_tianqi_chongzhen","明与各地社会、边疆政权","海盗头子郑芝龙投降明朝","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1630-004","1630（崇祯三年）","1621-1644_tianqi_chongzhen","明与各地社会、边疆政权","旱灾、蝗灾、疫病、河患与赈济的本年材料连接环境和社会压力，死亡与流离数字须谨慎处理。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
"ML-1633-002","1633（崇祯六年）七月7日","1621-1644_tianqi_chongzhen","明与海上、朝贡相关政权","辽洛湾之战：明朝造船厂在郑芝龙的监督下开始建造能够容纳大炮的多层舷侧帆船；他们被荷兰人的突然袭击炸毁","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1635-006","1635（崇祯八年）","1621-1644_tianqi_chongzhen","明与各地社会、边疆政权","辽东防务、后金（清）军事行动和流动作战集团的本年记录标记多战场互动，军数和胜败须保留分歧。","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。"
"ML-1638-003","1638（崇祯十一年）","1621-1644_tianqi_chongzhen","明与各地社会、边疆政权","地方结社、宗教、出版或士人文集的本年线索提供战乱中的社会观察，幸存者记忆不能概括全国。（材料核查重点：诏令或奏议的形成与发受链）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对诏令或奏议的形成与发受链。"
"ML-1641-001","1641（崇祯十四年）","1621-1644_tianqi_chongzhen","明与地方反抗、流动作战集团","李自成进入河南","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。"
"ML-1643-005","1643（崇祯十六年）","1621-1644_tianqi_chongzhen","明与各地社会、边疆政权","辽东防务、后金（清）军事行动和流动作战集团的本年记录标记多战场互动，军数和胜败须保留分歧。（材料核查重点：报称信息的来源、抄传与行政分类）","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。；本条特别核对报称信息的来源、抄传与行政分类。"
