"id","date","chronological_band","polity","event","core_sources","source_caveat","actioner_representation","spatial_scope","first_depiction_file"
"ML-1368-010","1368（洪武元年）九月20日","1368-1398_hongwu","明与蒙古诸部","明军占领大都（改称北平），元朝逃往内蒙古；元朝就这样结束了","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;frontier_polities_and_communities","frontier_or_borderland","chapters/anchor-register/hongwu-register.tex"
"ML-1368-011","1368（洪武元年）十一月","1368-1398_hongwu","明","明军攻克保定","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-012","1368（洪武元年）十二月26日","1368-1398_hongwu","明","明军攻克赵州","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-013","1368（洪武元年）十二月","1368-1398_hongwu","明","明军攻克平定","《太祖实录》洪武元年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-014","1368（洪武元年）","1368-1398_hongwu","明","卧虎炮为明军所用。","《太祖实录》洪武元年条；《明史·选举志》或《艺文志》；文集、碑刻或书目材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1368-015","1368（洪武元年）","1368-1398_hongwu","明","国子监创建","《太祖实录》洪武元年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1369-SHANGDU","1369（洪武二年）五月至八月","1368-1398_hongwu","明与北元","明军北进上都、应昌一线；元顺帝在北遁途中去世","《太祖实录》洪武二年五月、八月条；《明史·北虏传》；《高丽史》北元消息条","日期与战事序列较可靠；元顺帝死地和撤退细节有异说","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-001","1369（洪武二年）一月9日","1368-1398_hongwu","明","明军攻克太原","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-002","1369（洪武二年）三月3日","1368-1398_hongwu","明","明军攻克大同","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-003","1369（洪武二年）三月","1368-1398_hongwu","明","宋濂、王邑开始编修《元史》","《太祖实录》洪武二年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-004","1369（洪武二年）四月18日","1368-1398_hongwu","明","明军攻克山西，李思齐逃往临洮","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-005","1369（洪武二年）五月21日","1368-1398_hongwu","明","李思齐向明军投降","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-006","1369（洪武二年）五月23日","1368-1398_hongwu","明","明军攻克兰州","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-007","1369（洪武二年）六月8日","1368-1398_hongwu","明","明军攻克平凉","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-008","1369（洪武二年）七月20日","1368-1398_hongwu","明","明军攻克上都","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1369-009","1369（洪武二年）九月22日","1368-1398_hongwu","明、后金（清）与辽东诸势力","明军攻克庆阳","《太祖实录》洪武二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;frontier_polities_and_communities","frontier_or_borderland","chapters/anchor-register/hongwu-register.tex"
"EM-1370-PRINCELY-ENFEOFFMENT","1370（洪武三年）四月","1368-1398_hongwu","明","太祖大封诸子为王并配置藩国","《太祖实录》洪武三年四月条；《明史·诸王传》；《明会典·宗藩》","日期可靠；封册可证名义授封而不能直接证明各王实际兵权","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1370-SHENER-BATTLE","1370（洪武三年）六月","1368-1398_hongwu","明与北元","徐达在沈儿峪击败扩廓帖木儿部","《太祖实录》洪武三年六月条；《明史·徐达传》与《北虏传》；17世纪《蒙古源流》北元汗统叙事","战役发生可靠；双方兵数和斩获主要来自明方战报","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-001","1370（洪武三年）一月","1368-1398_hongwu","明","阔克帖木儿围攻兰州但未能攻克","《太祖实录》洪武三年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-002","1370（洪武三年）","1368-1398_hongwu","明","明军在巩昌击败了可克帖木儿，但未能俘获他","《太祖实录》洪武三年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-003","1370（洪武三年）六月5日","1368-1398_hongwu","明","洪武皇帝授权明第一次科举考试","《太祖实录》洪武三年条；《明史·选举志》或《艺文志》；文集、碑刻或书目材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-004","1370（洪武三年）六月10日","1368-1398_hongwu","明","明军攻克颍昌","《太祖实录》洪武三年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-005","1370（洪武三年）六月","1368-1398_hongwu","明","洪武帝取缔白莲教和摩尼教","《太祖实录》洪武三年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;insurgents_and_mobile_groups;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-006","1370（洪武三年）","1368-1398_hongwu","明","明代使用火药来增强地雷的爆炸力。","《太祖实录》洪武三年条；《明会典》相关条目；地方志、黄册/契约/河工材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1370-007","1370（洪武三年）","1368-1398_hongwu","明","明代大炮的弹丸由石弹过渡为铁弹。","《太祖实录》洪武三年条；《明史·选举志》或《艺文志》；文集、碑刻或书目材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1371-HAIJIN","1371（洪武四年）十二月","1368-1398_hongwu","明与东南沿海社会","朝廷申禁滨海居民私自出海并限制民间海外贸易","《太祖实录》洪武四年十二月条；《明史·食货志》；《筹海图编》所录早明海禁材料","诏令日期可靠；禁令不等于沿海航行和交易立即停止","court_and_officials;maritime_and_foreign_polities;fiscal_and_commercial_actors","maritime_or_transregional","chapters/anchor-register/hongwu-register.tex"
"EM-1371-MINGXIA","1371（洪武四年）","1368-1398_hongwu","明与明夏","傅友德等沿长江入蜀，夏主明昇降明","《太祖实录》洪武四年条；《明史·明玉珍传》；《四川通志》明夏遗迹条","年代可靠；行军路线和地方响应不能只据凯旋叙事复原","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1371-001","1371（洪武四年）五月18日","1368-1398_hongwu","明","明军攻占温州","《太祖实录》洪武四年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1371-002","1371（洪武四年）七月","1368-1398_hongwu","明","明军攻克杭州","《太祖实录》洪武四年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1371-003","1371（洪武四年）八月3日","1368-1398_hongwu","明","明盛将四川投降明朝","《太祖实录》洪武四年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;local_society_and_elites","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1371-004","1371（洪武四年）","1368-1398_hongwu","明","国子监注册学生达3,728人","《太祖实录》洪武四年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1372-LINGBEI-EXPEDITION","1372（洪武五年）","1368-1398_hongwu","明与北元","三路北伐受挫，李文忠、徐达等部未能取得预期战果","《太祖实录》洪武五年条；《明史·李文忠传》与《北虏传》；17世纪《蒙古源流》北元汗统叙事","战役大势可靠；败因、损失和各路会师情况在记载中不一","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1372-RYUKYU","1372（洪武五年）","1368-1398_hongwu","明与琉球诸政权","明使杨载出使琉球并开启朝贡往来","《太祖实录》洪武五年条；《明史·琉球传》；《历代宝案》早期入贡文书","明使出航与琉球回应有双边记录；三山内部政治不应视作单一国家","court_and_officials;maritime_and_foreign_polities","maritime_or_transregional","chapters/anchor-register/hongwu-register.tex"
"ML-1372-002","1372（洪武五年）","1368-1398_hongwu","明","明军在喀喇昆仑被击溃","《太祖实录》洪武五年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1372-003","1372（洪武五年）","1368-1398_hongwu","明","明军攻克永昌，攻克居延","《太祖实录》洪武五年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1372-004","1372（洪武五年）","1368-1398_hongwu","明","国子监注册学生突破1万人","《太祖实录》洪武五年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1372-005","1372（洪武五年）","1368-1398_hongwu","明","明代出现了专门为海军使用的大炮。","《太祖实录》洪武五年条；《明史·选举志》或《艺文志》；文集、碑刻或书目材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;maritime_and_foreign_polities","maritime_or_transregional","chapters/anchor-register/hongwu-register.tex"
"EM-1373-EXAMINATION-SUSPENDED","1373（洪武六年）","1368-1398_hongwu","明","太祖停罢科举，改重荐举与学校考核","《太祖实录》洪武六年条；《明史·选举志》；《明会典·礼部》科举沿革","政策日期较可靠；官方对取士质量的评语带有皇帝立场","court_and_officials;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1373-001","1373（洪武六年）三月","1368-1398_hongwu","明","洪武皇帝暂停科举考试","《太祖实录》洪武六年条；《明史·选举志》或《艺文志》；文集、碑刻或书目材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;religious_and_cultural_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1373-002","1373（洪武六年）十一月29日","1368-1398_hongwu","明","明军在怀柔击败可克帖木儿","《太祖实录》洪武六年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1373-003","1373（洪武六年）","1368-1398_hongwu","明","洪武皇帝将高丽的进贡限制为每三年一次","《太祖实录》洪武六年条；《明史·外国传》；《朝鲜王朝实录》、琉球《历代宝案》或海外档案","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1373-004","1373（洪武六年）","1368-1398_hongwu","明","明朝官员制定了中国历史上第一部《宅法》","《太祖实录》洪武六年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1374-001","1374（洪武七年）","1368-1398_hongwu","明","朝廷围绕卫所军户的编籍、屯田与调发整理本年军政文书，作为明初军事接收的可核查节点。","《太祖实录》洪武七年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials;armed_forces;fiscal_and_commercial_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1374-002","1374（洪武七年）","1368-1398_hongwu","明","北元诸部、东北和西南的边报、招抚与防御命令持续进入本年政务，须按具体部众和地域复核。","《太祖实录》洪武七年条；《明史·外国传》；《朝鲜王朝实录》、琉球《历代宝案》或海外档案","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials;frontier_polities_and_communities","frontier_or_borderland","chapters/anchor-register/hongwu-register.tex"
"ML-1374-003","1374（洪武七年）","1368-1398_hongwu","明","沿海朝贡、海禁和港口管理的文书构成本年海上联系线索，禁令不能直接推作私人航行停止。","《太祖实录》洪武七年条；《明史·外国传》；《朝鲜王朝实录》、琉球《历代宝案》或海外档案","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials;maritime_and_foreign_polities","maritime_or_transregional","chapters/anchor-register/hongwu-register.tex"
"ML-1375-001","1375（洪武八年）","1368-1398_hongwu","明","明开始发行新纸币“大明宝钞”","《太祖实录》洪武八年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1375-002","1375（洪武八年）","1368-1398_hongwu","明","由于费用和浪费，洪武皇帝停止了凤阳的建设；建设计划转移至南京","《太祖实录》洪武八年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1375-003","1375（洪武八年）","1368-1398_hongwu","明","皇室、功臣与中枢官僚的任免或案件材料构成本年权力重组线索，案狱叙事须避免照录罪名。","《太祖实录》洪武八年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"EM-1376-PROVINCIAL-COMMISSIONS","1376（洪武九年）六月","1368-1398_hongwu","明","废行中书省，分置承宣布政使司、都指挥使司、提刑按察使司","《太祖实录》洪武九年六月条；《明史·职官志》；《明会典·布政司》","制度发布可靠；三司分置不等于地方权力已均衡运作","court_and_officials;local_society_and_elites","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1376-001","1376（洪武九年）三月","1368-1398_hongwu","明","明军击败巴彦帖木儿","《太祖实录》洪武九年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1376-002","1376（洪武九年）七月","1368-1398_hongwu","明","明军再次击败巴彦帖木儿","《太祖实录》洪武九年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1376-004","1376（洪武九年）","1368-1398_hongwu","明","叶伯驹因批评皇帝重刑被饿死狱中","《太祖实录》洪武九年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1376-005","1376（洪武九年）","1368-1398_hongwu","明","洪武帝处决所有与“预印文书案”有关的官员","《太祖实录》洪武九年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1377-001","1377（洪武十年）五月","1368-1398_hongwu","明、后金（清）与辽东诸势力","明军入侵青海","《太祖实录》洪武十年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;frontier_polities_and_communities","frontier_or_borderland","chapters/anchor-register/hongwu-register.tex"
"ML-1377-002","1377（洪武十年）","1368-1398_hongwu","明","南京宫殿竣工，定为“京师”","《太祖实录》洪武十年条；《明史·本纪》及相关列传；诏令、奏疏或会典版本","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;fiscal_and_commercial_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1377-003","1377（洪武十年）","1368-1398_hongwu","明","朝廷围绕卫所军户的编籍、屯田与调发整理本年军政文书，作为明初军事接收的可核查节点。","《太祖实录》洪武十年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials;armed_forces;fiscal_and_commercial_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1378-001","1378（洪武十一年）","1368-1398_hongwu","明与地方反抗、流动作战集团","吴冕叛乱：锦族叛乱","《太祖实录》洪武十一年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces;local_society_and_elites;insurgents_and_mobile_groups","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1378-002","1378（洪武十一年）","1368-1398_hongwu","明","学校、科举、礼制或律令的颁行与讨论在本年材料中留下制度线索，规定与地方实践应分开处理。","《太祖实录》洪武十一年条；《明史·选举志》或《艺文志》；文集、碑刻或书目材料","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials;local_society_and_elites;religious_and_cultural_actors","local_or_provincial","chapters/anchor-register/hongwu-register.tex"
"ML-1378-003","1378（洪武十一年）","1368-1398_hongwu","明","户部、布政司与里甲体系围绕户籍、田土和赋役的申报形成年度行政链，本条标记其可回查节点。","《太祖实录》洪武十一年条；《明会典》相关条目；地方志、黄册/契约/河工材料","桥接条目只标示可回查的年度问题与材料链；实录有中央选择性，崇祯期尤其需要奏疏、地方、朝鲜及满文材料交叉。","court_and_officials;armed_forces;fiscal_and_commercial_actors","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
"ML-1379-001","1379（洪武十二年）二月","1368-1398_hongwu","明","明军在甘肃击败藏人","《太祖实录》洪武十二年条；《明史·兵志》及相关列传；边镇、地方志或对方材料","译写候选以编年材料定位；实录记载反映朝廷选择，崇祯期须另以奏疏、地方及敌对政权材料交叉。","court_and_officials;armed_forces","imperial_or_multi_regional","chapters/anchor-register/hongwu-register.tex"
