"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","evidence_type","source_locator","source_caveat","year_ce","chronological_band","tier","actioner_representation","spatial_scope","source_caveat_class"
"EQ-1646-LONGWU-CAPTURE","顺治三年八月（1646年）","清与南明隆武政权","清军在闽北俘杀隆武帝朱聿键，隆武朝终结","被俘死亡主干可靠；行止路线与地方助力记载不一","《清世祖实录》顺治三年八月；《清史稿·隆武帝本纪》；《福建通志》与黄道周文集相关记载","福建征服、隆武朝廷与郑氏的早期关系","清军由浙赣入闽，隆武政权军饷和将领协调不足且难以掌握山海通道","闽中明廷名义被打断，郑氏网络和地方武装成为东南抗清的重要行动者","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治三年八月；《清史稿·隆武帝本纪》；《福建通志》与黄道周文集相关记载","原有置信注记：被俘死亡主干可靠；行止路线与地方助力记载不一","1646","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1646-SHAOWU-GUANGZHOU","顺治三年十一月（1646年）","清与南明绍武政权","清军攻入广州，绍武帝朱聿𨮁被杀，广州短暂的绍武朝结束","广州失守可靠；绍武与永历两朝冲突细节主要来自后出南明叙事","《清世祖实录》顺治三年十一月；《清史稿·绍武帝本纪》；《广东通志》及南明文集","两广明廷竞争、广州港口与地方军政","隆武朝覆灭后明宗室在广东争夺名义中心，内部冲突削弱对清军进攻的协调","永历政权成为西南主要明廷名义，广东沿海郑氏与地方势力继续影响战局","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治三年十一月；《清史稿·绍武帝本纪》；《广东通志》及南明文集","原有置信注记：广州失守可靠；绍武与永历两朝冲突细节主要来自后出南明叙事","1646","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1646-YONGLI-ZHAOQING","永历元年／顺治三年（1646年冬）","南明永历政权与清","朱由榔在肇庆即位为永历帝，建立延续至西南的南明朝廷","即位时间大体可靠；改元与礼仪细节应按永历文书和清廷军报分别处理","《清世祖实录》顺治三年两广军报；《清史稿·永历帝本纪》；《永历实录》与《肇庆府志》","永历朝形成、两广地方网络与南明多中心政治","绍武朝覆灭及明宗室分散，迫使支持者在两广重建朝廷；西南军政资源提供退守条件","永历年号成为西南抗清行动的共同名义，清军须把两广、贵州、云南与缅甸路线连为战场","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治三年两广军报；《清史稿·永历帝本纪》；《永历实录》与《肇庆府志》","原有置信注记：即位时间大体可靠；改元与礼仪细节应按永历文书和清廷军报分别处理","1646","1644-1683_conquest_early_kangxi","A","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1648-JIN-SHENGHUAN","顺治五年（1648年）","清、江西与金声桓集团","南昌守将金声桓反清并改奉南明，江西战局重新打开","反叛及南昌控制可靠；部众规模和改奉动机多为交战各方归责语言","《清世祖实录》顺治五年江西军报；《清史稿·金声桓传》；《南昌府志》与南明永历朝文书","降将再选择、江西财政与南明联络","清初任用降将以快速覆盖江南，但军饷、地位和地方网络未稳定；南明仍可提供合法性资源","清廷被迫向江西投入围城和调兵资源，显示占领区行政接收不等于长期服从","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治五年江西军报；《清史稿·金声桓传》；《南昌府志》与南明永历朝文书","原有置信注记：反叛及南昌控制可靠；部众规模和改奉动机多为交战各方归责语言","1648","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1648-LI-CHENGDONG","顺治五年（1648年）","清、广东与李成栋集团","广东清将李成栋反清，广州一度转入永历朝控制","反叛与广州易手可靠；个人动机和地方支持范围有强烈阵营叙事差异","《清世祖实录》顺治五年广东军报；《清史稿·李成栋传》；《广东通志》及永历朝诏敕辑录","广东降将政治、港口资源与永历朝复兴","清军依靠原明将领维系两广，军功分配与中央控制的矛盾给永历朝重新联络的空间","两广战场扩大并与江西、闽海相连，清廷须重新部署南方军饷和将领体系","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治五年广东军报；《清史稿·李成栋传》；《广东通志》及永历朝诏敕辑录","原有置信注记：反叛与广州易手可靠；个人动机和地方支持范围有强烈阵营叙事差异","1648","1644-1683_conquest_early_kangxi","B","court_and_officials;local_society_and_elites","local_or_provincial","annalistic_selection_limit"
"EQ-1649-NANCHANG","顺治六年正月至三月（1649年）","清与金声桓集团","清军围攻并攻取南昌，金声桓反叛失败","围城结局可靠；攻城损失、城内处置和战后人口变化须以地方资料复核","《清世祖实录》顺治六年正月至三月；《清史稿·金声桓传》；内阁大库顺治六年江西军需题本与《南昌府志》","围城战、江西粮饷与征服后的城市恢复","金声桓据南昌切断清廷赣江通道，清军需以持续军需和外围据点完成围攻","江西反叛中心被击破，清廷恢复通道但须面对战后税源、流民和秩序重建","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治六年正月至三月；《清史稿·金声桓传》；内阁大库顺治六年江西军需题本与《南昌府志》","原有置信注记：围城结局可靠；攻城损失、城内处置和战后人口变化须以地方资料复核","1649","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1650-GUANGZHOU","顺治七年十一月（1650年）","清与永历朝广东守军","清军重新攻取广州，战后杀戮与损毁规模成为广东地方记忆中的重大争议","广州再陷可靠；死亡数字和“庚寅之劫”持续时间不能从清军战报单定","《清世祖实录》顺治七年十一月；《清史稿·世祖本纪》；《广东通志》、广州地方笔记与内阁大库广东军报","广州征服暴力、海港城市与地方记忆","李成栋反叛后广东成为永历朝资源节点，清军重夺广州兼具军事和海防目的","永历朝在两广基础削弱，广州损失与人口流动影响地方财政、宗族和港口恢复","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治七年十一月；《清史稿·世祖本纪》；《广东通志》、广州地方笔记与内阁大库广东军报","原有置信注记：广州再陷可靠；死亡数字和“庚寅之劫”持续时间不能从清军战报单定","1650","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces;local_society_and_elites","local_or_provincial","annalistic_selection_limit"
"EQ-1650-DORGON-DEATH","顺治七年十二月（1650年）","清","摄政王多尔衮在古北口外行猎途中去世，摄政政治结构随之改组","死亡日期可靠；死因、身后清算与权力斗争不能只依后来的政治定性","《清世祖实录》顺治七年十二月；《清史稿·多尔衮传》；《清初内国史院满文档案》摄政王丧仪与遗命档","摄政体制、宗室权力与死后政治","多尔衮集中军政与皇室事务，围绕摄政权的宗室和旗人竞争在其死后失去调停中心","顺治帝及近臣得以重组朝廷，摄政集团的名誉与权力被重新界定","chapters/early-qing/regency-and-centralization.tex","annalistic_record","《清世祖实录》顺治七年十二月；《清史稿·多尔衮传》；《清初内国史院满文档案》摄政王丧仪与遗命档","原有置信注记：死亡日期可靠；死因、身后清算与权力斗争不能只依后来的政治定性","1650","1644-1683_conquest_early_kangxi","B","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1651-SHUNZHI-PERSONAL-RULE","顺治八年（1651年）","清","顺治帝亲政，撤除摄政安排并重置皇帝周边的决策网络","亲政事实可靠；实际决策仍受宗室、旗务和满汉官僚共同制约","《清世祖实录》顺治八年正月；《清史稿·世祖本纪》；《顺治朝内阁档》亲政诏令与任官题本","顺治亲政、皇帝近臣与满汉官僚协作","多尔衮去世使摄政权威无法延续，皇帝及支持者以礼制和任免重建指挥链","中央命令署名和人事结构改变，但南方征服与财政仍要求依靠地方将领和降官","chapters/early-qing/regency-and-centralization.tex","annalistic_record","《清世祖实录》顺治八年正月；《清史稿·世祖本纪》；《顺治朝内阁档》亲政诏令与任官题本","原有置信注记：亲政事实可靠；实际决策仍受宗室、旗务和满汉官僚共同制约","1651","1644-1683_conquest_early_kangxi","B","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1652-DINGGUO-GUILIN","永历六年／顺治九年（1652年）","南明永历朝、清与李定国军","李定国攻克桂林，孔有德自尽，清在广西的军事据点受重创","桂林战果可靠；双方兵数和孔有德死因细节应保留不同文本说法","《清世祖实录》顺治九年广西军报；《清史稿·孔有德传》；《永历实录》与《广西通志》","李定国军事行动、广西城防与南明短暂反攻","两广清军战线长、补给困难且将领协调不足，永历军利用机动兵力突击桂林","永历朝获得声望与物资，但未能稳定保持两广；清廷随即加强西南调兵","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治九年广西军报；《清史稿·孔有德传》；《永历实录》与《广西通志》","原有置信注记：桂林战果可靠；双方兵数和孔有德死因细节应保留不同文本说法","1652","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1652-DINGGUO-HENGZHOU","永历六年／顺治九年夏（1652年）","南明永历朝与清","李定国在衡州击败尼堪军，清军西南攻势暂受挫","战役结局大体可靠；地点、伤亡与尼堪死亡过程在中清叙事与南明记录间有异","《清世祖实录》顺治九年湖南军报；《清史稿·尼堪传》；《永历实录》与《衡州府志》","湘桂战场、八旗机动军与南明补给","清军试图由湖南压迫两广和贵州，李定国依托本地军队与道路选择反击","清廷认识到西南征服不能只靠快速突进，转向更大规模调兵、饷运和分区推进","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治九年湖南军报；《清史稿·尼堪传》；《永历实录》与《衡州府志》","原有置信注记：战役结局大体可靠；地点、伤亡与尼堪死亡过程在中清叙事与南明记录间有异","1652","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1653-ZHENG-XIAMEN","顺治十年（1653年）","清与郑成功集团","郑成功以厦门、金门为基地整合海上军政与贸易网络，持续攻击福建沿海清军据点","基地经营可靠；郑军船只、兵员和贸易收入多来自敌对战报或后出郑氏叙事","《清世祖实录》顺治十年福建海防军报；《清史稿·郑成功传》；《厦门志》与郑氏文书辑录","郑氏海上政权、闽南港口与军商网络","隆武朝覆灭后郑成功保留明室名义，并借岛屿港口、商船和侨民网络筹饷","福建海疆无法由陆上州县单独控制，清廷日后将海禁、迁界和水师建设结合","chapters/early-qing/coastal-war-and-taiwan.tex","annalistic_record","《清世祖实录》顺治十年福建海防军报；《清史稿·郑成功传》；《厦门志》与郑氏文书辑录","原有置信注记：基地经营可靠；郑军船只、兵员和贸易收入多来自敌对战报或后出郑氏叙事","1653","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces;maritime_and_foreign_polities;local_society_and_elites;fiscal_and_commercial_actors","maritime_or_transregional","annalistic_selection_limit"
"EQ-1654-ZHENG-ZHANGZHOU","顺治十一年（1654年）","清与郑成功集团","郑成功军围攻漳州等闽南城镇，清军守城与援军维持陆海据点","围攻与未克主干可靠；郑氏作战目标和双方损失须以中荷航海记录交叉","《清世祖实录》顺治十一年福建军报；《清史稿·郑成功传》；《漳州府志》与荷兰东印度公司台湾商馆日记","闽南城镇、海上补给与郑氏军事能力","郑氏需扩大粮饷和招募基础，漳州连接闽南腹地与港口；清军依托城防和陆路援兵","郑氏未能迅速夺取大陆府城，海岛基地与海上贸易的重要性进一步上升","chapters/early-qing/coastal-war-and-taiwan.tex","annalistic_record","《清世祖实录》顺治十一年福建军报；《清史稿·郑成功传》；《漳州府志》与荷兰东印度公司台湾商馆日记","原有置信注记：围攻与未克主干可靠；郑氏作战目标和双方损失须以中荷航海记录交叉","1654","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1656-ZHENG-QUANZHOU","顺治十三年（1656年）","清与郑成功集团","郑成功军在泉州、同安一线进攻并争夺闽南水陆通道","战事发生可靠；具体攻守日期与城寨归属须按清军报、郑氏文书和地方志逐项核对","《清世祖实录》顺治十三年福建军报；《清史稿·郑成功传》；《泉州府志》及郑氏文书辑录","闽南水陆通道、地方团练与郑氏征粮","郑氏既需守厦金又要取得腹地粮食，清军以府县城防切断其陆上补给","拉锯战使闽南居民承受征粮、迁徙与治安压力，也推动清廷酝酿强制沿海政策","chapters/early-qing/coastal-war-and-taiwan.tex","annalistic_record","《清世祖实录》顺治十三年福建军报；《清史稿·郑成功传》；《泉州府志》及郑氏文书辑录","原有置信注记：战事发生可靠；具体攻守日期与城寨归属须按清军报、郑氏文书和地方志逐项核对","1656","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1657-YONGLI-GUIZHOU","永历十一年／顺治十四年（1657年）","南明永历朝、清与孙可望集团","永历朝在贵州、云南的孙可望与李定国集团矛盾公开化，孙可望转降清廷","孙可望降清可靠；冲突责任、军队规模与永历帝处境受各方政治文本影响","《清世祖实录》顺治十四年贵州军报；《清史稿·孙可望传》；《永历实录》与贵州地方志","西南军阀联盟、南明朝廷与降附政治","长期战争中的饷源、官爵和指挥权竞争削弱永历朝合作，清廷提供孙可望转换阵营的条件","清军获得西南军情与向导资源，永历朝失去大批可动员兵力，云南退路日益孤立","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治十四年贵州军报；《清史稿·孙可望传》；《永历实录》与贵州地方志","原有置信注记：孙可望降清可靠；冲突责任、军队规模与永历帝处境受各方政治文本影响","1657","1644-1683_conquest_early_kangxi","B","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1658-QING-YUNNAN","顺治十五年（1658年）","清与南明永历朝","清军由贵州、四川等方向进逼云南，永历朝廷撤离昆明并向西南退却","清军入滇和永历撤离可靠；各路行军与地方归附应分区而非视作全省一次完成","《清世祖实录》顺治十五年云南军报；《清史稿·洪承畴传》；《云南通志》与永历朝奏疏辑录","入滇战争、山地补给与地方政治","孙可望降清削弱南明防线，清军依托多路会攻和地方土司、降将信息推进","永历政权转为流动朝廷，清军虽占昆明等城，仍须在边地和交通线上持续作战","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治十五年云南军报；《清史稿·洪承畴传》；《云南通志》与永历朝奏疏辑录","原有置信注记：清军入滇和永历撤离可靠；各路行军与地方归附应分区而非视作全省一次完成","1658","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces;local_society_and_elites","local_or_provincial","annalistic_selection_limit"
"EQ-1659-NANJING-EXPEDITION","顺治十六年七月至八月（1659年）","清与郑成功集团","郑成功北上围攻南京，未能突破城防后撤回海上基地","北伐及撤退可靠；作战计划、内应和伤亡数字在清廷、郑氏与荷兰记录间冲突","《清世祖实录》顺治十六年七月至八月；《清史稿·郑成功传》；《延平王户官杨英从征实录》与荷兰东印度公司海上报告","郑成功北伐、长江防务与军事补给","郑氏希望借长江下游粮赋和明遗民网络扩大反清战场，清军则集中守备江防和城门","北伐失败暴露郑军内河攻坚和长期补给限制，促使其把台湾作为新的战略选择","chapters/early-qing/coastal-war-and-taiwan.tex","annalistic_record","《清世祖实录》顺治十六年七月至八月；《清史稿·郑成功传》；《延平王户官杨英从征实录》与荷兰东印度公司海上报告","原有置信注记：北伐及撤退可靠；作战计划、内应和伤亡数字在清廷、郑氏与荷兰记录间冲突","1659","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces;maritime_and_foreign_polities","maritime_or_transregional","annalistic_selection_limit"
"EQ-1659-YONGLI-MYANMAR","永历十三年／顺治十六年末（1659年）","南明永历朝、缅甸东吁王朝与清","永历帝一行进入缅甸，西南战争扩展为跨境避难和外交问题","入缅事实可靠；路线、接待条件与缅甸朝廷决策须并读汉文和缅文/欧洲记载","《清世祖实录》顺治十六年云南军报；《清史稿·永历帝本纪》；《琉璃宫史》缅文传统及欧洲旅行记译注","永历入缅、明清战争与中缅边境政治","清军推进使永历朝失去云南腹地，缅甸王朝面临接纳流亡朝廷与避免清军压力的两难","永历政权补给与外交选择受缅甸宫廷制约，清廷将追捕与边境交涉结合","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治十六年云南军报；《清史稿·永历帝本纪》；《琉璃宫史》缅文传统及欧洲旅行记译注","原有置信注记：入缅事实可靠；路线、接待条件与缅甸朝廷决策须并读汉文和缅文/欧洲记载","1659","1644-1683_conquest_early_kangxi","A","court_and_officials;armed_forces;frontier_polities_and_communities","frontier_or_borderland","annalistic_selection_limit"
"EQ-1660-QING-YUNNAN-CONSOLIDATION","顺治十七年（1660年）","清与南明永历朝残部","清军继续经营云南城镇与驿路，永历朝残部向中缅边地退缩","清军控制主要城镇大体可靠；土司、矿区和山地实际控制不能以府城易手推定","《清世祖实录》顺治十七年云南军报；《清史稿·吴三桂传》；内阁大库顺治十七年云南粮饷题本与《云南通志》","云南征服后的军需、土司关系与驿路","占领昆明后清军仍须供应远征军、维持道路并争取地方中介，永历残部利用边地机动","云南成为吴三桂等将领驻军和财政调度基地，也为后来的藩镇结构埋下条件","chapters/early-qing/southern-conquest.tex","annalistic_record","《清世祖实录》顺治十七年云南军报；《清史稿·吴三桂传》；内阁大库顺治十七年云南粮饷题本与《云南通志》","原有置信注记：清军控制主要城镇大体可靠；土司、矿区和山地实际控制不能以府城易手推定","1660","1644-1683_conquest_early_kangxi","B","court_and_officials;armed_forces","imperial_or_multi_regional","annalistic_selection_limit"
"EQ-1661-KANGXI-ACCESSION","顺治十八年正月（1661年）","清","顺治帝去世，八岁玄烨即位为康熙帝，索尼、苏克萨哈、遏必隆、鳌拜辅政","继位及辅政名单可靠；顺治死因和遗诏形成过程存在材料与后世叙事差异","《清世祖实录》顺治十八年正月；《清史稿·圣祖本纪》；《康熙起居注》与内国史院遗诏档","幼主继承、四辅政大臣与八旗政治","顺治早逝使未成年皇帝继承，宗室与旗人高层需建立可承认的集体决策安排","辅政集团掌握朝政，皇权成长、旗人权力平衡和南方战事资源相互交织","chapters/early-qing/regency-and-centralization.tex","annalistic_record","《清世祖实录》顺治十八年正月；《清史稿·圣祖本纪》；《康熙起居注》与内国史院遗诏档","原有置信注记：继位及辅政名单可靠；顺治死因和遗诏形成过程存在材料与后世叙事差异","1661","1644-1683_conquest_early_kangxi","A","court_and_officials","imperial_or_multi_regional","annalistic_selection_limit"
