"id","date","polity","event","confidence","core_sources","modern_direction","cause","consequence","target","source_caveat","tier"
"WZ-MID-BRONZE-PRODUCTION","西周中期（约前10世纪；为持续过程）","周及各地贵族网络","青铜礼器生产、原料调度与工匠组织扩大并区域化","考古趋势可靠；产量、控制方式与具体年份不定","周原、成周及诸侯墓地出土器物；铸铜遗址资料；金文","青铜供应链、铸造技术与王室—地方工坊关系研究","结构性原因：祭祀、册命和战争奖赏持续需要可见的礼器；使能条件：矿料、运输、工匠和贵族消费网络相互配合","直接后果：礼器成为政治记忆与资源集中能力的物质载体；中期影响：地方贵族也能以器物和铭文展示自身地位","common/economy-society.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","C"
"WZ-QIU-WEI-TRANSACTIONS","西周中期至晚期（具体王年有争议）","周王畿贵族社会","裘卫诸器记录财物、土地与人身役属相关的交换","器铭可靠；交易性质与术语解释有争议","裘卫诸器铭文","西周交换、贝币、土地权利与役属关系研究","使能条件：贵族拥有可记录、可交割的贝、田地和役使资源；材料限度：器铭仅呈现精英交易一端","直接后果：显示赏赐之外存在复杂的资源交换与债务关系；中期影响：纠正把西周经济简化为单一贡纳体系的印象","common/economy-society.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","B"
"WZ-SANSHI-BOUNDARY-CASE","西周晚期（约前9世纪；具体王年未定）","周王畿贵族社会","散氏盘记载田界争议、赔偿与盟誓式解决","器铭可靠；地望、诉讼程序与社会范围有争议","散氏盘铭文","西周土地边界、纠纷解决与法律性仪式研究","触发因素：相邻贵族对田界和资源权利发生争执；使能条件：以誓约、见证和铭文固定解决方案","直接后果：争议被转换为可追认的边界文本；中期影响：说明贵族秩序依赖协商和程序，不只是王命单向下达","common/economy-society.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","B"
"WZ-ZHAO-FIRST-SOUTH","昭王时期（约前10世纪后段；具体战次不定）","周与南方政治体","昭王在汉水以南方向发动或参与多次军事行动","多次行动的轮廓可信；次数、路线和目标有争议","史记·周本纪；今本竹书纪年；南方青铜器与考古材料","昭王南征次数与年代；周—楚关系及南方资源网络研究","结构性原因：南方铜料、交通与政治威望的竞争；使能条件：王室仍能远程动员并依赖水陆通道","直接后果：为后来的汉水败亡提供军事背景，但不可将每次行动串成无间断战役；中期影响：南方扩张的风险上升","frontiers/southern-expansion.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-LI-EHOU-YU","厉王时期说（约前9世纪；具体王年未定）","周与鄂侯、南方政治体","鄂侯驭方相关冲突及王室军事处置","金文所记冲突可靠；人物身份、战争范围与原因有争议","禹鼎、鄂侯驭方器等金文；史记·周本纪相关叙述","鄂侯驭方事件、南方政治地理与厉王时期研究","触发因素：王室与区域贵族、南方政治体之间的权力和资源冲突；材料限度：铭文多从胜方与受赏者角度叙述","直接后果：军事胜利与贵族功劳被铸入礼器；中期影响：显示晚西周南方控制仍须反复动员","frontiers/southern-expansion.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-LI-RESOURCE-POLICY","厉王时期（前841年以前；具体政策时间不明）","周","后出史书归因的“专利”、用人和民怨叙事形成","事件结局可靠；政策细节与因果链高度有争议","国语·周语上；史记·周本纪；竹书纪年","厉王“专利”含义、国人概念与晚西周财政政治研究","结构性原因：王室在边防、赏赐和朝廷竞争中面对资源压力；触发因素：后出叙事将冲突集中到政策与谏诤人物","直接后果：贵族、国人与王室关系恶化的记忆汇入共和危机；中期影响：不可把后世道德化叙事直接还原为现代意义的经济垄断","states/royal-court/late-crises.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","C"
"WZ-XUAN-NORTH-CAMPAIGN","宣王时期（前828年以后；战年多有争议）","周与玁狁等北方政治体","王师及尹吉甫等贵族在北方的征伐、戍守与凯旋叙事","诗歌和金文反映军旅活动；战次、战果与地望有争议","诗经·小雅·六月、采薇、出车；不其簋等金文","玁狁名号、诗歌体裁与晚西周北方战争研究","结构性原因：西北边防、交通线和兵源压力；使能条件：共和后重新集结王室与贵族动员网络","直接后果：中兴话语获得可歌咏的军功；中期影响：频繁戍守显示边防并未被一役解决","frontiers/western-pressure.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-XUAN-HUAIYI","宣王时期说（具体王年未定）","周与淮夷等东方、东南政治体","《江汉》《常武》等所见南方、东南方向的军政行动","诗歌可见战争记忆；对应战役和人物行迹有争议","诗经·大雅·江汉、常武；晚西周金文","《诗经》军旅诗的成诗背景；宣王对淮夷关系研究","结构性原因：王室重建威望时仍需回应边缘政治体与封国安全；材料条件：诗歌采用颂扬性叙述","直接后果：王室将军事行动表述为恢复秩序；中期影响：南北同时动员加重资源和协调压力","frontiers/southern-expansion.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-XUAN-JIANGRONG-SETBACK","宣王晚期说（传统系年前8世纪初；绝对年与战事待考）","周与姜戎等西北政治体","后出材料所记王师在千亩或相关西北战事中的受挫","传世叙事较晚；地点、敌名与结局不可确证","国语·周语上；今本竹书纪年；史记·周本纪","千亩之战真伪与地望；姜戎名称及晚西周军事衰退研究","结构性原因：长期边防动员和王室资源紧张；材料限度：后世将多重危机压缩为一次败战","直接后果：中兴叙事出现反向记忆；中期影响：为幽王时期的西部危机提供背景，不能视作其唯一原因","frontiers/western-pressure.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","B"
"WZ-SHIQIANG-PAN","西周中期说（通常系恭王前后；绝对年不定）","周","史墙盘铸成，以王系叙述和家族功绩连接祖先、王室与受命者","器铭可靠；作器年代、王序与政治含义有争议","史墙盘铭文及器物资料","史墙盘王年、王统叙事与家族记忆研究","使能条件：贵族家族以礼器将自身服务史嵌入王室谱系","直接后果：提供西周王系与政治记忆的关键金文材料；中期影响：显示“王统”并非只由后世史家书写，也在贵族礼器中被塑造","common/culture-thought.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","B"
"WZ-MAO-GONG-DING","西周晚期说（通常系宣王；具体年代有讨论）","周","毛公鼎铸成，记录王对毛公的长篇命令与托付","器铭可靠；王名、文本结构和具体政务背景有争议","毛公鼎铭文及器物资料","晚西周命书体、官僚协作与王权修复研究","触发因素：晚西周朝廷需重申官员责任与王命程序；使能条件：长篇铭文可把命令保存为家族凭据","直接后果：为理解宣王时期政治语言提供一手材料；中期影响：王权越需要反复训诫与托付，越可见其治理依赖中介贵族","states/royal-court/late-crises.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","B"
"WZ-WESTERN-ZHOU-ODES","西周中晚期作品层；《诗经》编定远后","周及诸侯社会","雅、颂中若干作品形成并保存朝会、祭祀、征伐与农事记忆","部分篇章可联系西周；作者、年代和原始场合常有争议","诗经·大雅、小雅、周颂、鲁颂；毛传、郑笺为后世注释","《诗经》成诗年代、礼仪场合与传承层累研究","使能条件：朝会、祭祀和军旅提供可反复演唱的政治语言；材料限度：今本编次与西周原始表演不可等同","直接后果：王室与贵族的秩序观念以歌诗传播和留存；中期影响：后世以《诗经》复原西周时必须区分作品层与汉代以来解释","common/culture-thought.tex","传世文献可保存政治语言或仪式传统；成文、传本与语境层次须辨明，不能直接还原事件现场。","B"
"WZ-LATE-RITUAL-HIERARCHY","西周中晚期（为长期过程）","周及诸侯贵族社会","墓葬、礼器组合与铭文显示贵族身份呈现日益制度化且地域有别","考古趋势可靠；礼制是否全国统一及其与文献礼制关系有争议","周原、丰镐、成周及诸侯墓地考古；金文","西周墓葬等级、性别与宗族；“礼制化”模式的区域差异研究","结构性原因：继承、祭祀与政治服务需以可见程序区分身份；使能条件：地方贵族拥有组织墓葬和礼器的资源","直接后果：身份与家族记忆被物质化；中期影响：后世“周礼”理想可借此找到材料，却不能抹平各地实践差异","common/culture-thought.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","C"
"WZ-WESTERN-CAPITAL-ECONOMY","西周中晚期（为持续过程）","宗周王畿与周原、丰镐地区","王畿聚落、仓储、手工业和交通支撑王室祭祀、赏赐与征伐","考古可见趋势；行政规模、赋役比例与人口数字不可确证","周原遗址、丰镐遗址考古；金文；诗经相关篇章","西周王畿经济、聚落层级与物资征调研究","结构性原因：双都、军队和礼仪网络需要稳定的粮食、工匠与运输供给","直接后果：王室得以维持跨区域命令与礼器生产；中期影响：当边防和政治危机加剧，王畿供给能力成为权力能否兑现的限制","common/economy-society.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-771-SUCCESSION-CRISIS","幽王时期（前771年以前；具体过程多为后出叙事）","周、申、褒及相关贵族集团","幽王废申后、立褒姒子伯服的继承冲突逐步公开化","继承危机轮廓可信；人物动机和细节争议很大","国语·郑语、周语；史记·周本纪；左传昭公二十六年","幽王废立、申侯角色与褒姒故事的叙事化研究","结构性原因：王室继承牵连外戚、诸侯与宗支资源；触发因素：嫡庶与婚姻联盟被重新排序","直接后果：申及其他集团与王室关系破裂；中期影响：为镐京陷落提供关键政治条件，但不能以单一家庭故事解释王朝覆亡","states/royal-court/late-crises.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","B"
"WZ-771-SHEN-RONG-ALLIANCE","前771年前后","申、犬戎及周王室相关集团","申侯与犬戎等力量进入镐京危机，王室军事联盟瓦解","结局可靠；联盟构成、犬戎身份与行动过程有争议","国语·郑语、周语；左传昭公二十六年；史记·周本纪；清华简相关研究线索","犬戎名称与西北考古；前771年联盟和史事重建研究","触发因素：继承冲突与西部安全体系破裂；使能条件：地方集团掌握独立军事和交通资源","直接后果：镐京陷落与幽王死的直接背景；中期影响：王室被迫转向成周，西周的王畿政治网络断裂","states/royal-court/late-crises.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","A"
"WZ-POST-771-RITUAL-MEMORY","西周末至东周初的衔接（前771—前770年前后）","周","镐京失守后，宗庙、礼器与王统记忆随东迁而被重新安置和解释","东迁可靠；具体迁移物资与仪式过程材料不足","史记·周本纪；竹书纪年；西周晚期金文与东周早期考古","西周—东周断裂与延续；礼器、宗庙和王室记忆的迁移研究","直接后果：旧王畿的物质与军事基础难以恢复；使能条件：成周既有王室节点仍可承接部分礼仪名分","直接后果：平王东迁获得制度与象征条件；中期影响：周王室保留共主语言，却不再拥有西周式资源中心","common/culture-thought.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-1046-THREE-GUARDS","周初（传统系年不定）","周、殷遗民与管蔡","武王以管叔、蔡叔、霍叔监守武庚与殷遗民","传世叙事可用；职权不明","《史记·管蔡世家》；《尚书·大诰》","武王以管叔、蔡叔、霍叔监守武庚与殷遗民的材料层次、年代与区域比较研究","征服后商都仍是东方最敏感的政治资源","宗室监督与旧商代理并置，构成摄政冲突背景","states/royal-court/foundation-and-regency.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","C"
"WZ-EARLY-LU-FOUNDATION","周初至成王时期","周与鲁","伯禽受封鲁地并经营曲阜据点","受封可信；初期疆域不定","《史记·鲁周公世家》；曲阜周公庙遗址","伯禽受封鲁地并经营曲阜据点的材料层次、年代与区域比较研究","东部需要宗亲据点联结周人与地方人群","鲁成为东部支点，整合并非一次授土","states/eastern-network/enfeoffment-network.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-EARLY-QI-FOUNDATION","周初至成王时期","周与齐","姜尚家族受封营丘一带","谱系可用；营丘定位有争议","《史记·齐太公世家》；临淄早期遗存","姜尚家族受封营丘一带的材料层次、年代与区域比较研究","山东通道须由功臣网络经营","齐的建国叙事连接军功、资源与名分","states/eastern-network/enfeoffment-network.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","B"
"WZ-EARLY-YAN-FOUNDATION","周初至成王时期","周与燕","召公家族在燕地建立封国中心","始封传统稳；始封者有争论","《史记·燕召公世家》；燕侯盂；琉璃河遗址","召公家族在燕地建立封国中心的材料层次、年代与区域比较研究","北方通道需要宗族与礼器资源的中介","燕地墓葬显示地方精英网络逐步形成","states/eastern-network/settlement-and-enfeoffment.tex","传世叙事与出土或物质材料可交叉核对最小事实；器物、文本的年代与出土语境，以及其同叙事的对应，仍须逐项核验。","B"
"WZ-EARLY-WEI-FOUNDATION","周初东征前后","周与卫","康叔受命经营殷墟周边卫国网络","关联可信；迁移地点不明","《尚书·康诰》；《史记·卫康叔世家》；殷墟西周遗存","康叔受命经营殷墟周边卫国网络的材料层次、年代与区域比较研究","旧商核心区需要密集监督与行政交接","卫将原商都纳入周的宗法名分","states/eastern-network/settlement-and-enfeoffment.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","C"
"WZ-1040-WUGENG-SUPPRESSION","周公东征阶段","周与武庚","周军平定武庚及其盟附势力","次序可靠；战场兵力不明","《尚书·大诰》；《史记·周本纪》；《逸周书》相关篇","周军平定武庚及其盟附势力的材料层次、年代与区域比较研究","摄政权威受宗室和旧商势力共同挑战","武庚失去代理地位，殷民安置转为难题","states/royal-court/foundation-and-regency.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","B"
"WZ-1040-GUAN-SHU-PUNISHMENT","周公东征后","周","管叔被诛，成为宗室惩戒记忆","结局见于史书；审断不明","《史记·管蔡世家》；《左传·僖公二十四年》","管叔被诛，成为宗室惩戒记忆的材料层次、年代与区域比较研究","三监瓦解后须表明叛乱不能由血缘赦免","后世以此界定周公功业和宗支风险","states/royal-court/foundation-and-regency.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","C"
"WZ-1040-CAI-SHU-EXILE","周公东征后","周与蔡","蔡叔被放逐，蔡仲续封的谱系形成","叙事可见；地点与续封年不明","《史记·管蔡世家》；《左传·昭公十一年》","蔡叔被放逐，蔡仲续封的谱系形成的材料层次、年代与区域比较研究","周室须区别可清除者与可重新纳入的宗支","蔡氏叙事将惩罚与再整合并列","states/royal-court/foundation-and-regency.tex","传世叙事保存事件顺序与政治记忆；成书、编纂与文学化使对白、动机、数字和精确细节不可视为现场记录。","B"
"WZ-1040-KANG-SHU-RELOCATION","东征后安置阶段","周与卫","康叔在卫地承担殷民治理职责","过程可推；路线规模不明","《酒诰》；《梓材》；《史记·卫康叔世家》","康叔在卫地承担殷民治理职责的材料层次、年代与区域比较研究","武庚覆灭后须建立持续地方命令","卫成为整合旧都人群的重要个案","states/eastern-network/settlement-and-enfeoffment.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","C"
"WZ-1030S-BOQIN-LU-SETTLEMENT","成王时期说","鲁与周","伯禽就国与礼俗整合的叙事流传","故事后出；细节不可坐实","《史记·鲁周公世家》；《汉书·地理志》","伯禽就国与礼俗整合的叙事流传的材料层次、年代与区域比较研究","封国须把周人礼仪同本地土地人群相接","该故事成为鲁国历史资源","states/eastern-network/enfeoffment-network.tex","后出史学编纂可维系事件序列；其取舍、正统叙事与人物塑形不能单独确证动机、数字或细节。","C"
"WZ-1030S-YAN-LIULIHE","西周早期","燕与周","琉璃河城址、墓地和燕侯器显示中心稳定化","考古可靠；墓主身份有讨论","琉璃河发掘报告；燕侯旨鼎；燕侯盂","琉璃河城址、墓地和燕侯器显示中心稳定化的材料层次、年代与区域比较研究","北方封国需城址墓地固定新精英","燕的中心具有连续建设过程","states/eastern-network/settlement-and-enfeoffment.tex","出土或物质材料可确认器物、称号、文本或局部实践；年代、出土语境和外推范围有限，不能单独复原完整事件过程。","C"
